HPI rank;Country;ISO;Continent;Unnamed: 4;Population (thousands);Year;LifeExp (years);Ladder of life (0-10);Footprint (g ha);HPI;Biocapacity for year (g ha);GDP per capita ($)
146;Afghanistan;AFG;6;2019AFG;38041.757;2019;64.8;2.375091791;0.732091747;29.40920321;1.56;2065.036398
36;Albania;ALB;7;2019ALB;2880.913;2019;78.6;4.995317936;1.953726297;51.03309375;1.56;13724.05879
62;Algeria;DZA;4;2019DZA;43053.054;2019;76.9;4.744627476;2.22316038;46.48894951;1.56;11510.55709
43;Argentina;ARG;1;2019ARG;44780.675;2019;76.7;6.085560799;3.191470119;49.98872592;1.56;22063.90437
20;Armenia;ARM;7;2019ARM;2957.728;2019;75.1;5.4880867;1.521645531;54.73393391;1.56;13653.74953
88;Australia;AUS;2;2019AUS;25203.2;2019;83.4;7.233994961;7.525196181;43.11437338;1.56;49609.04403
59;Austria;AUT;3;2019AUT;8955.108;2019;81.5;7.195361137;6.05452653;46.81302886;1.56;56011.61122
50;Azerbaijan;AZE;7;2019AZE;10047.719;2019;73;5.173389435;1.968940748;48.03454046;1.56;14402.46386
139;Bahrain;BHR;4;2019BHR;1641.164;2019;77.3;7.098012447;9.796565318;33.5929738;1.56;45010.7115
22;Bangladesh;BGD;6;2019BGD;163046.173;2019;72.6;5.114216805;0.875011257;54.46704074;1.56;4753.726947
89;Belarus;BLR;7;2019BLR;9452.409;2019;74.8;5.821453094;4.110974951;42.88780952;1.56;19249.28548
92;Belgium;BEL;3;2019BEL;11539.326;2019;81.6;6.772138119;6.694853717;42.53497245;1.56;51830.74647
99;Benin;BEN;5;2019BEN;11801.151;2019;61.8;4.976360798;1.388341424;41.37151967;1.56;3287.309538
127;Bhutan;BTN;6;2019BTN;763.094;2019;71.8;5.196599483;4.387431921;36.67282917;1.56;11832.18926
75;Bolivia;BOL;1;2019BOL;11513.102;2019;71.5;5.67427063;2.940349746;44.99913781;1.56;8724.475702
54;Bosnia and Herzegovina;BIH;7;2019BIH;3300.998;2019;77.4;6.01552248;3.648305094;47.78103944;1.56;14922.14851
142;Botswana;BWA;5;2019BWA;2303.703;2019;69.6;3.471084833;2.661163058;31.85112214;1.56;17766.53897
21;Brazil;BRA;1;2019BRA;211049.519;2019;75.9;6.451148987;2.679416288;54.56892235;1.56;14651.61618
106;Bulgaria;BGR;7;2019BGR;7000.117;2019;75;5.108438015;3.832988495;40.13077545;1.56;23265.62327
98;Burkina Faso;BFA;5;2019BFA;20321.383;2019;61.6;4.740892887;1.056987637;41.53829397;1.56;2178.323415
121;Burundi;BDI;5;2019BDI;11530.577;2019;61.6;3.775283098;0.592674199;37.69524004;1.56;751.6639572
51;Cambodia;KHM;8;2019KHM;16486.542;2019;69.8;4.998284817;1.364666284;47.96745103;1.56;4388.800909
108;Cameroon;CMR;5;2019CMR;25876.387;2019;59.3;4.936737537;1.244285448;39.90883236;1.56;3642.277258
105;Canada;CAN;2;2019CAN;37411.038;2019;82.4;7.1090765;8.145413732;40.18359249;1.56;48881.39675
150;Central African Republic;CAF;5;2019CAF;4745.179;2019;53.3;3.08446157;1.20802659;25.21146334;1.56;944.8680935
145;Chad;TCD;5;2019TCD;15946.882;2019;54.2;4.250799179;1.671389473;30.36278983;1.56;1579.626695
67;Chile;CHL;1;2019CHL;18952.035;2019;80.2;5.942250252;4.443800777;45.64123987;1.56;25131.46476
94;China;CHN;8;2019CHN;1433783.692;2019;76.9;5.144120216;3.737106216;41.88879499;1.56;16092.30077
3;Colombia;COL;1;2019COL;50339.443;2019;77.3;6.350297928;1.904750865;60.1651675;1.56;14624.9713
93;Comoros;COM;5;2019COM;850.891;2019;64.3;4.608616352;1.121470201;42.43860389;1.56;3059.509705
56;Congo (Brazzaville);COG;5;2019COG;5380.504;2019;64.6;5.212622643;1.048699638;47.15744747;1.56;3673.117827
104;Congo (Kinshasa);COD;5;2019COD;86790.568;2019;60.7;4.416484356;0.73384215;40.52924206;1.56;1097.948853
1;Costa Rica;CRI;1;2019CRI;5047.561;2019;80.3;6.997618675;2.648522266;62.05755177;1.56;20296.8215
111;Cote d'Ivoire;CIV;5;2019CIV;25716.554;2019;57.8;5.392012119;1.579017311;39.64587173;1.56;5212.556048
65;Croatia;HRV;7;2019HRV;4130.299;2019;78.5;5.625743866;3.641389841;46.20843547;1.56;28845.29047
45;Cyprus;CYP;3;2019CYP;1198.574;2019;81;6.136832714;3.974458505;49.4183661;1.56;39544.68185
58;Czech Republic;CZE;7;2019CZE;10689.213;2019;79.4;6.965628386;5.400431879;46.8144963;1.56;40828.05984
